ID	relation	seg1_text	seg2_text	annot_ABNTQ9OXGOJP0	annot_A3JFGKEYXV6G84
ArgEss_essay041_03	neutral	students might have little idea of the real challenges or the true situation when they enter the workforce after graduation	the internship, although without pay, can give them the experiences that money cannot buy	neu	entailment
NK_deb_1569	support	The hope for peace is to be firm against those who threaten the peace so that they ca n't blackmail us . The hope for peace is then to go out and sit down , from a position of strength , and negotiate for disarmament for peace but always from strength and never from weakness . And that 's what Cabot Lodge and I will do .	Perhaps they will not agree to the effective system of inspection and control which is vital to agreement . Perhaps the Communist Chinese will refuse to participate in arms control negotiation , even though their ultimate participation is essential to effective disarmament . Perhaps the science of inspection will be unable to keep pace with advancing weapons technology .	neu	neu
AbstRCT_14550448_03	support	Patients reported increased leakage with a full bladder (urge incontinence) between the 2 and 3-year questionnaires (42% versus 50%; P = 0.03).	Comparing the results 2 and 3 years after radiotherapy, the symptoms of rectal bleeding had improved, erectile function had decreased, and urinary urge incontinence had increased.	entailment	entailment
JoKialo_causal_15581	neutral	This does not make racial devisiveness unimportant or not worth regulating.	White actors portraying ethnic minorities are less likely to be sensitive to the portrayal of negative or offensive stereotypes.	neu	neu
US2016_nodeset10064_011	support	we say Black Lives Matter	all lives matter does not bring attention to the problem	neu	entailment
micro_b056_00	support	A violation of international law should be more than enough to consider a reaction!	the EU should intervene right away.	neu	neu
micro_b033_00	support	as the area is right in the middle of the city (capital).	I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,	neu	neu
ComArg_GM_0636	support	It's a human right, not a heterosexual privilege.   The full faith and credit clause of our Constitution states that if one state makes a law, other states have to recognize it. It's kind of like having a driver's license in IL then going to WI, it's valid and just the same. So, in theory if one state legalizes gay marriage and the couples disperse throughout the U.S. every state SHOULD recognize it. I cannot wait until states start losing federal funding over this. It reminds me of the struggles the African Americans went through ( I'm not using that to lessen the intensity but to serve as a comparison.) The whole state's rights issue is surfacing again and it will be interesting to see how our government handles it. Hopefully we don't have the same bigots and hateful people in office so things can fall into place. Separate the church and the state. Marriage has been seen in more recent times as a religious term, even given to atheists. And if all sin is the same in the eyes of god, why is it any different giving homosexuals the ability to use that term? Legalizing gay marriage would increase revenue, stop legal discrimination against the newly created and heavily ostracized minority and enable love to flourish.	It is discriminatory to refuse gay couples the right to marry	entailment	entailment
FinARG_MSFT_Q3_2016_17185_6_00	support	i mean, i think the overall for me across all of our product lines, whether it be windows or whether it be office 365 or azure, developer momentum, isv momentum is super important priority for us, both in terms of our developer evangelism, our product engineering teams, as well as everything that we will do to even create success for our partners through our field sales organization is a top of mind priority.	so you will only increasingly see us deliver more design wins there.	neu	entailment
NK_deb_0595	neutral	[ Applause . ] I have asked Mr. Nixon to participate in a fifth debate which I think should cover the question of Cuba and other important problems facing the American people . I still find it impossible to understand why Mr. Nixon wants to limit the debate to one subject where there are so many important problems facing the American people .	Thus far these fighters for freedom have had virtually no support from our Government .  This clearly means , as the New York Times Washington correspondent , James Reston , reported in today 's paper :  His statement this week on Cuba , publicly calling for Government aid to overthrow Castro , is a clear violation of the inter-American treaty prohibition against intervention in the internal affairs of the hemisphere Republics .  Thus it is clear that you and I are diametrically opposed on a matter of great public interest and one which the next President may have to deal with as soon as he assumes the office .	neu	neu
