ID	relation	seg1_text	seg2_text	annot_A17R7WX5B0CKK6	annot_AMHLSGAD2KWA6
AbstRCT_20651011_01	support	Physical training combined with cognitive-behavioral therapy and physical training alone had significant and beneficial effects on fatigue compared with no intervention.	Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,	neu	neu
micro_b035_01	support	which are often less costly than medication from conventional medicine, which are also paid for after all.	The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.	contradiction	neu
AAAI2018_02_14	attack	Alternative renewables are inefficient for the cost!	If we develop and invest in them, they will cost less. More demand, lower price.	contradiction	neu
Webis-Debate_1002	attack	"I suggest Windows Media Player 11 and Windows Media Player 12 articles to be merged into this article (Windows Media Player) due to the following reasons:#Lack of contents: (Specifically, Overlap and Text) Windows Media Player 12 article is no more than a signle paragraph long and can be fitted under a new heading, ""future developments"", in this article. Windows Media Player 11 article looks longer but has a lot of duplicate information, including ""History"", parts of ""Features"" and a monstrous infobox containing a duplicate screenshot.#Lack of notability: Both articles (Windows Media Player 11 and Windows Media Player 12) contain portions that fail to prove notable, encyclopedic or helpful. (I do not deny that Windows Media Player itself is a notable topic, but it is obviously not as notable as Microsoft Windows, Adobe Photoshop, Internet Explorer or Firefox.) A combination of the three articles definitely helps to improve this issue.I encourage everyone to provide feedback. If no significant objection is registered, after some time (say a month) any Wikipedian is welcome to go ahead and merge the articles -- this humble included!I'm appending merge proposal tags to the article. Fleet Command (talk)"	for both, but for 12 more strongly as it is a major version change from 11, eg. its support for m4a and divx.	contradiction	contradiction
JoDeb_norm_2508	support	AIGs 2009 $165m bonuses were justified. They should not be reneged or taxed.	Punishing AIG bonuses only caters to populist anger	entailment	contradiction
JoKialo_norm_20065	neutral	Holdo had to deal with a hot-headed male subordinate who displayed a clear lack of trust in her- even asserting his plan as superior- to the point of detaining her at gunpoint.	Both Ben and Yoda push Luke to kill Vader, and manipulate him in order to achieve those ends. When Luke realises this, he decides to take his own path, and attempt to redeem Vader instead.	neu	neu
JoKialo_norm_40449	support	This problem cannot be solved by banning pornography. Rather, the [consumption of ethical porn](https://www.independent.co.uk/voices/your-definitive-guide-on-how-to-be-an-ethical-porn-consumer-a6741911.html) should be encouraged.	Ethical porn is inclusive and has a big focus on realism. Videos show real connection, intimacy, laughter and pleasure.	entailment	entailment
JoDeb_norm_0390	support	Corps. do have a right to free speech and to spend w/o limit in elections.	Unlimited spending breaks stranglehold of incumbents	entailment	neu
AbstRCT_21149651_02	support	Median survival time was 53.6 months for women with decreasing CES-D scores over 1 year and 25.1 months for women with increasing CES-D scores.	Decreasing depression symptoms over the first year were associated with longer subsequent survival for women with MBC in this sample.	entailment	entailment
Web_0843	attack	I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.	Bulgarian people are raising a lot of questions today about the democratic, tolerant and humane British society and whether someone like Nigel Farage is an appropriate representative of it.	contradiction	contradiction
FinARG_FB_Q3_2015_17233_7_03	support	and that isn't giving the most voice to the most people.	so we feel a responsibility to have policies for our community which limit hate speech and limit things which are going to create just an overwhelmingly uncomfortable environment for people that is going to silence other people's speech in order to make sure that over the long-term we are enabling the most people to be able to express as much as possible as they can.	entailment	neu
Webis-Debate_2670	support	The disambiguation policy says that there should be no content on this page but links. This page attempts to do more than that for each entry. Plus, many of these entries would benefit from space for their own articles. -- cmh	. I have to agree, this really should be split into separate articles.	entailment	entailment
QT50_nodeset29318_012	attack	2050 is too late	it comes down to very difficult choices	neu	neu
ComArg_UGIP_0409	neutral	I am not bothered by under God but by the highfalutin christians that do not realize that phrase was NEVER in the original pledge - it was not added until 1954. So stop being so pompous and do not offend my parents and grandparents who NEVER used under God when they said the pledge.  Let it stay, but know the history of the Cold War and fear of communism.	Implies ultimate power on the part of the state	contradiction	neu
US2016_nodeset10463_017	support	CHRISTIE would act on Social Security	we need to deal with this problem	contradiction	neu
QT30_nodeset23859_002	attack	in December 2019 people said they wanted to get Brexit done	Brexit is the most colossal foreign Policy blunder in the post-war period	contradiction	contradiction
veri_10	neu	The film is very overrated	A famous actor was in the film.	neu	neu
IBM_stance_0237	attack	This house believes in the use of affirmative action	The selection process should not be based on some arbitrary or irrelevant criterion	entailment	neu
IBM_stance_2119	support	This house believes that advertising is harmful	advertising focuses on looking toward external rewards for a sense of self	entailment	neu
NK_deb_0376	neutral	And I say to you today that in the affairs of nations , just as in the affairs of individuals , there comes a time when patience , which we have been displaying , is no longer a virtue - and that time is at hand as far as our dealings with Castro and his government are concerned . You will recall that last July we acted to safeguard our future sugar supplies by reducing the share allotted to Cuba . Now we must take further action to protect the interests of the United States and of our friendly sister Republics in the hemisphere .	And we had our Secretary of State leave the Inter - American Conference in 1954 , after securing a resolution against Guatemala , but before the Latin American nations had been given a chance to discuss the economic problems which were the purpose of the meeting . Mr. Nixon has said that if we had a program of economic development for Latin America 5 years ago , then  we might have produced economic progress in Cuba which might have averted the Cuba takeover .  And to that I would add that such a program might also have built up our friendships and destroyed Communist influence throughout Latin America .	neu	neu
UKP_cloning_2358	attack	Cloning should be considered as a promising opportunity for human development.	There 's going to be people who turn something wonderful or helpful , into something destructive .	entailment	neu
AAAI2018_05_07	attack	 Yes, but these experiences are about nuclear too	 That's another story, Participant4. Nuclear tests for weapons is not energy demand 	contradiction	contradiction
UKP_cloning_2965	neutral	Cloning should be considered as a promising opportunity for human development.	Some of the laws proposed to prohibit cloning-to-produce-children while permitting cloning-for-biomedical-research identify the act of “ cloning ” not with the creation of a cloned human embryo for research purposes , but only with the transfer of such an embryo to the uterus of a woman .	neu	neu
micro_b051_02	support	On top of that, private and family life suffers massively because of this reduction and shifting in designated off-times.	For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.	entailment	entailment
NK_deb_1087	support	And what did he say we ought to do ? And I quote him exactly . He said that we should support - the U.S. Government should support - the anti-Castro forces in and out of Cuba . What happened ? This had a terrible effect all over Latin America .	Do you now contend that the quotation is inaccurate ? Your language clearly means what James Reston of the New York Times said it means , as I quoted in my telegram to you , as follows : His [ Mr . Kennedy 's ] statement this week on Cuba publicly calling for Government aid to overthrow Castro is a clear violation of the inter-American treaty prohibition against intervention in the internal affairs of the hemisphere republics . Virtually every major newspaper which has commented on the subject understood your remarks as Mr. Reston did and as I did that you were advocating direct Government support of the anti-Castro forces both in exile and in Cuba .	entailment	entailment
ArgEss_essay326_04	neutral	car companies use computers to simulate and analyze car accident by computers	Many industries use computers to command to robots in order to do many regular tasks, which were carried out by human early	neu	neu
