ID	relation	seg1_text	seg2_text	annot_A2QD9PJUKW7PKK	annot_A230VUDYOCRZ4N
Web_1561	attack	A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.	Deputy Prime Minister Nick Clegg, whose Liberal Democrats oppose a referendum, said leaving altogether would make us less safe because we co-operate in the European Union to go after criminal gangs that cross borders.	neu	entailment
Web_0893	support	I voted Tory for 30 years and started supporting UKIP because I want a sovereign, democratic , well governed Britain with Britain put first and its getting clearer by the day that the old Liblabcon parties will not do that.	Mr Cameron had given away too many powers and too much money to Europe, Farage said.	entailment	contradiction
US2016_nodeset10596_006	attack	CLINTON wants to start a war with Russia	CLINTON did not say that	contradiction	neu
micro_b014_00	attack	It is in fact good to support sophisticated programming through fees.	Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.	contradiction	entailment
QT30_nodeset25474_009	attack	the NHS is bleeding	we are seeing the fact that the NHS has remobilised	contradiction	contradiction
veri_14	entailment	Anne goes to the gym 4 times per week.	Anne does a lot of sport.	neu	entailment
ComArg_GM_1074	neutral	Whether one is homosexual or heterosexual is not due to any learned response.  Both homosexuals and heterosexuals are what they are because nature made them so.  All persons should be treated as human beings. No person should be oppressed simply because that person is different or thinks differently than another person.  The real reason that some people want the14th Amendment repealed, is because treating people equally doesn't fit, Their  Freedom of Religion.  All humans, whether believers or non-believers, deserve the same treatment.  Churches that recognize homosexual marriage are excersing their Freedom of Religion just as much as Churches that do not recognize homosexual marriage.  The U. S.Constitution and several State Constitutions say both concepts are in fact protected Freedom of Religion, and cannot be expressed in a manner that makes one concept superior to the other.  Some of these Constitutions say this expressly, and some imply it through Construction and implication, which is a necessary and proper way to interpret all of those Constitutions.  Making homosexual marriage a moral issue makes it a to be of the Pharisees and Sadduccees that I must be 10 times more righteous than to get to the Kingdom of Heaven.	Gay couples can declare their union without resort to marriage	neu	contradiction
ComArg_UGIP_0916	neutral	The word God evokes lots of emotions and is interpreted differently by different people. It has a reference to religion/church to many, and there is separation of church and state in our country. This violates that. I don't see why it's needed, and it just caused division.	Implies ultimate power on the part of the state	neu	neu
IBM_stance_1378	support	This house would limit the right to bear arms	people who keep a gun at home increase their risk of homicide	neu	entailment
ArgEss_essay357_06	neutral	a conducted experiment indicates out-performance in skills like differentiate types of plants or animals of a child that experienced various activities in nature to a child spent most of his time watching documentaries	such activities can equip a child necessary skill that is useful for his future career	entailment	entailment
ArgEss_essay078_09	neutral	without the requirement of environmental preservation, the firm would still consume a vast amount of energy which constitutes a large part of its operational costs, being a hurdle to the economic development	taking environmental consequences seriously can enhance working efficiencies	neu	entailment
QT50_nodeset29088_001	support	secondly, the Government are afraid of them getting involved directly in negations	we can't go back to a situation like the 1960s and 1970s where whenever there's a strike at a factory the Government goes in with beer and sandwiches and tries to negotiate an outcome	neu	entailment
veri_18	entailment	Charles is a king.	Charles is the member of a royal family.	entailment	entailment
JoKialo_causal_122572	support	If any, it's going to take a lot of time before seeing the economic benefits.	The UK [has already lost](https://www.independent.co.uk/news/business/news/brexit-uk-economy-office-for-budget-responsibility-no-deal-gdp-investment-inflation-a8579306.html) £500 million a week due to the decline in GDP growth relative to what it would have been if the vote hadn't occurred.	entailment	neu
AAAI2018_09_07	attack	 I do think separating boys and girls throughout their school years is just impossible. However I do agree that sometimes mixing them up can be hazardous, some of them preferring having love affairs instead of studying just to name that example... 	 It is easier to implement an education strategy geared specifically towards one gender. And both genders will gain from it. 	contradiction	contradiction
