ID	relation	seg1_text	seg2_text	annot_AT0PWVD2PHDQ	annot_ARA95W8C0JZVY
QT30_nodeset21604_007	attack	in terms of police Scotland, attitudes haven't changed as much as they should have since 1999	it is not just these issues	entailment	neu
Webis-Debate_2102	support	"Oppose - I am not in favor of the move. Though other articles may have done it, I don't feel that ""upcoming video game"" is good for an article title. PlayStation 4 in the title (until the definite title or release year is known) better clarifies its distinction from the original game in my opinion. --JDC808 ♫"	, it's going to be moved to God of War (2017 video game) or God of War (2018 video game) eventually, so the PlayStation 4 disambiguation was never going to stick anyway. —	entailment	contradiction
AAAI2018_09_18	attack	 Participant 5, so who showed this ? Which researcher ? 	 Moreover, I'd like to add that there are co-educational schools, men have had their own schools, why should women not? There will still be discrimination if there were only male single-sex schools; thus we need to redress this discrimination. 	neu	neu
NK_deb_0979	support	The same party that opposed 25 cents for a minimum wage in the mid-thirties opposes unanimously , pretty nearly , in the House , $ 1.25 in 1960 . The same party , the Republicans , who opposed social security in the mid-thirties , opposed medical care for the aged . The same party which in 1960 talks about education , the same candidate who talks about aid to education , cast the decisive vote against aid to teachers salaries in the U.S. Senate .	The basic Republican argument against oar programs always is : America can not afford it . They say the businessman can not afford better schools , better pay for oar teachers , better homes , better medical care for the aged . The Republican Party says , in short , that we can not afford prosperity for all Americans .	entailment	entailment
JoDeb_norm_3025	support	Students should be required to live in the dorms their first year of college.	There are stricter dorms available if individuals want it.	neu	neu
veri_08	entailment	Tina visited the Colosseum when she was in Rome.	Tina was in Italy.	entailment	entailment
Web_2834	attack	you continue to quote dishonest sources	the ncses response to id is that about  scientist dont believe in id and you shouldnt either	neu	neu
AbstRCT_20821047_01	support	There was no significant change in FACT-B-ES (overall) scores or ES scores while patients were taking anastrozole or letrozole and no significant differences between drugs.	both AIs are equally well tolerated.	entailment	entailment
FinARG_AAPL_Q3_2017_18834_7_00	support	we're getting a lot of positive customer feedback.	watch and airpods are doing incredibly well.	entailment	entailment
IBM_stance_1204	attack	This house believes that wind power should be a primary focus of future energy supply	Electricity generated from wind power can be highly variable	neu	neu
JoDeb_norm_6277	support	The US federal government should increase the minimum wage.	The One America Committee	neu	neu
AAAI2018_01_17	support	Yes agree with this idea of building Quebec's road 	I just think it is better that they give back to society, we could use people to rebuild Quebec's roads, just saying. 	entailment	entailment
veri_01	entailment	Sport is considered to be beneficial for health.	It is considered as healthy to go to the gym.	entailment	entailment
NK_deb_1331	neutral	Under Governor Williams leadership , you here in Michigan have moved promptly to take advantage of the meager benefits for the elderly under new Federal legislation . But the Federal program is wholly inadequate - in Michigan it will cover only 60,000 new people , only one-seventh of the number that would have been covered under the Democratic bill that tied medical care to social security without a pauper 's oath . Here in Michigan you have led the Nation in your educational programs .	It is a view sharply in contrast with the charity approach , or the demeaning consignment of the aged as dependent burdens upon their families and public relief . The clearest evidence of this difference in approach can be seen in the problem of health care for the aged . Some of the proposals have been founded upon a degrading means test .	entailment	entailment
NK_deb_1369	support	I ask your support on Tuesday . I ask your help in building a stronger country here , providing educational opportunity for our children , in providing jobs for our people , in providing medical care for our older citizens , tied to social security , in providing opportunity for all men and women of talent to build their society here in the United States that will serve as an example of freedom . This is an important election .	We have a minimum wage , but to be of any help at today 's prices it must be raised to $ 1.25 an hour . We have social security , but to meet the most basic need of older people today , it must be amended to include medical care . We have urban renewal and housing measures , but to replace slums faster than they are spreading , those measures must be expanded .	contradiction	entailment
JoDeb_norm_5980	attack	Acts of hate should be criminalized.	Hate crimes cannot be proven to harm communities	entailment	contradiction
QT30_nodeset18876_004	support	after James Cleverly mentioned that there’s been eight areas, Marsha thinks reviews aren’t enough	it’s time now for reform	entailment	entailment
UKP_abortion_0415	neutral	Women should have the opportunity to get legal and safe abortion if they want	This is a personal topic because it touches on a person 's value system .	entailment	entailment
JoKialo_norm_48412	support	US companies should be prohibited from paying any employee more than 35 times the compensation of their lowest-paid employee.	More equitable pay would improve company culture and increase employee morale.	entailment	entailment
JoKialo_norm_17559	neutral	"If anything is ""Divine,"" then the universe must also be divine. The definition of divine is: ""of, relating to, or proceeding directly from God."""	All Muslims should be Shia	entailment	neu
ComArg_UGIP_0100	support	I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.	Removing under god would promote religious tolerance	contradiction	entailment
AAAI2018_02_19	attack	For sure there are positive and negative effects, but since we have alternatives why we don't invest in them and it will be a sustainable source of energy for next generations.	But as much as I know the alternative will not be enough for the next generation.	neu	contradiction
UKP_gun_control_2531	neutral	Gun laws should be more restrictive.	But he was also confident he could find new customers .	neu	neu
QT30_nodeset20307_000	support	that is why the borders are being closed	we didn't have the new variants which the scientific advice is that we should be very concerned about	neu	contradiction
QT50_nodeset29250_006	support	when it comes to a separation of powers it means it’s important the judiciary weighs up the evidence	we set the laws in parliament	entailment	entailment
