ID	relation	seg1_text	seg2_text	annot_AORHXBTOCXFUK	annot_A29ZTHY1OB4IC8
IJCAI2015_01_04	support	Well, the thing is that animals don't have human rights. Humans have large brains, form social groups, communicate and are generally worthy of moral consideration. We also are aware of ourselves and of the nature of death. Some animals have some of these characteristics but not all so should not have the same rights. In harming animals to benefit humans, we enter in to a good moral trade-off to create a greater good.	OK. First of all, the animals have different biological structure with respect to human beings. The test result may not be the same on the animals and human beings. On the other hand, the animal can not talk, of course the researcher can monitor the body status, while some researches need to get accurate feelings from humans.	entailment	entailment
AAAI2018_012_31	attack	YES CANNABIS SHOULD BE LEGALIZED, CONSUMMATION IS A PERSONAL LIBERTY BUT some restriction must be imposed. 	It's unacceptable to create a law to use bad stuff unless they prove that there is a benefits. 	neu	neu
US2016_nodeset10835_018	support	today the country is divided	KELLY asked a question about the police and the difficulty in communities	neu	contradiction
ArgEss_essay094_07	neutral	if a child is educated to have a hygienic lifestyle at a very young age, he also keeps it when older	Health education causes long-term positive effects on our next generations	contradiction	contradiction
micro_b018_02	support	They should not be spent on personal preferences without proven use.	Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.	entailment	contradiction
veri_17	contradiction	The student scored 100 percent in the exam.	The student failed the exam.	contradiction	contradiction
IJCAI2015_06_02	support	Bullies should face the law. Why would bullies not face the law ? 	Bullies have to face the force of the law in any case. Death of the victim or not. 	contradiction	entailment
QT50_nodeset28868_000	attack	the price cap on energy is 2,500	it is not technically a price cap	entailment	contradiction
Webis-Debate_0416	attack	":This song's sub-title is ""Close to You"", which many artists use when covering the song themselves. If this article's going to be moved, move it to ""Close to You"". Best, --"	After doing some research, I find Rich is correct. Any move here would be unwise, as The Carpenters' version is the most popular version played on popular music radio station outlets, also being the only version to top the music charts, and having itself (The Carpenters' version, that is) been covered by numerous artists, thus establishing it as the definitive version over all others. So, really a move wouldn't make any sense. Keep where it's at. Best, --	contradiction	contradiction
JoDeb_norm_4853	support	I should go to graduate school.	Masters degree improves critical analysis and life choices	entailment	contradiction
ComArg_GM_1197	neutral	if we decide to ban gay marriage we will be breaking the twelfth amendment. also it would  slightly break the third because only religious groups have stopped or tried to stop gay mariage! maybe the religious groups should be banned since they are interfering with equal rights!!!! DOWN WITH DISCRIMINATION!!!!!!	Marriage should be between a man and a woman	contradiction	neu
ArgEss_essay150_08	neutral	I do not have enough time to read a novel in one day, so I usually read it when I am coming home from English class	reading a novel is more convenient	contradiction	contradiction
veri_01	entailment	Sport is considered to be beneficial for health.	It is considered as healthy to go to the gym.	entailment	entailment
AbstRCT_11370551_03	support	Postoperative complication rates were similar in both arms, with 12% (postoperative radiochemotherapy) and 13% (preoperative radiochemotherapy) of patients, respectively, suffering from anastomotic leakage, 4% (postoperative radiochemotherapy) and 3% (preoperative radiochemotherapy) from postoperative bleeding, and 6% (postoperative radiochemotherapy) and 5% (preoperative radiochemotherapy) from delayed wound healing.	neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.	entailment	entailment
NK_deb_1686	neutral	Today , 100 years later , I come from my native city of Boston to Wisconsin , to tell you that Carl Schurz 's teachings have not been forgotten . That I know , and all Americans realize , that peace and disarmament are remote and difficult goals . But we have chosen them as ideals to guide our actions .	I see him , ruthless , tough , completely a man dedicated to one purpose only - the evil purpose of conquering the world , and this is what I know . If America ever makes the mistake of entering into a disarmament agreement , which he does not also keep with inspection , it will increase the danger of war rather than reduce it , and I 'll tell you why : We can not leave to a man who is the enemy of peace power to start a war and destroy the world . We have to have the power because we are friends of peace .	contradiction	contradiction
QT50_nodeset29033_000	attack	the Government didn’t even have to reach a deal on pay to avert the strikes today	the Government just had to open the door, and accept the principle that they were going to have a conversation with the nurses about their pay	contradiction	contradiction
AAAI2018_05_02	attack	 The German solar panels are doing the job...	 Green energy is far to be enough nowadays. Solar panels aren't worth it at a large scale	entailment	contradiction
QT30_nodeset25472_076	support	it starts at school	when Nadhim Zahawi was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum	contradiction	neu
US2016_nodeset10460_015	support	there is nothing new about it	the Republican Party's been fighting against a single-payer system for a decade	contradiction	neu
ComArg_GM_0838	neutral	People were made to reproduce. you can't do that when your with your own gender. You don't see any other living thing do it.	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	contradiction	contradiction
micro_d15_00	support	Every day passengers are harassed by hooligans and drunks on the underground, trains and busses.	This is why we need more police presence in public transport,	contradiction	entailment
QT50_nodeset28942_010	support	nurses shouldn't be going on strike	patients don't want nurses to go on strike	entailment	entailment
AAAI2018_09_10	support	I'm not sure the government spies people. By consequences, large industrial collect all the time full of information on us to try to develop more attractive offers. It's a double-edged sword.	It's like a commercial at tv: if you watch tv, you know you will see commercials. So if you use the Internet you will be spy by big companies.	contradiction	entailment
JoDeb_causal_0088	attack	"The US government ""fair use"" copyright clause is a good thing."	"Fair use doesn""t give copyright holders enough rights"	contradiction	contradiction
micro_b020_00	support	Olympic events are rooted in old traditions.	computer games should also not be recognized as Olympic events.	entailment	contradiction
ComArg_UGIP_0044	support	Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?	Removing under god would promote religious tolerance	contradiction	contradiction
micro_k014_01	support	Checks could contribute to restricting the so far rather opaque scope of action of individual services.	Intelligence services should be more closely regulated by parliament,	contradiction	contradiction
IBM_stance_1821	attack	This house would only teach abstinence for sex education in schools	Countries with conservative attitudes towards sex education have a higher incidence of STIs and teenage pregnancy	entailment	contradiction
AAAI2018_08_05	support	 Yes we can't do such a right. 	" I've been working in the educational field in USA, and there nothing worse than a kid talking about the gun of his father. As you cannot say ""the right to carry guns is for people without a kid only"". Than no right at all."	contradiction	neu
QT30_nodeset21313_000	support	we've got to get back to normal as soon as we can	there's going to be a new timetable we need to hear about what that is and the basis on which that is	entailment	neu
Webis-Debate_1692	support	:Support - Perfeck. --	--	neu	neu
veri_10	neu	The film is very overrated	A famous actor was in the film.	entailment	contradiction
AAAI2018_01_19	support	Killing them is joining them 	The point is that nobody can decide about someone else life, otherwise we're just like terrorists. 	contradiction	contradiction
FinARG_AAPL_Q1_2015_17547_9_08	support	we’re growing the number of stores.	you can tell by that we’re a big believer in china.	entailment	neu
Web_1514	support	UKIPs main issue has always been the EU, immigration has just been the bit that highlights what a failure the project has been.	UKIP, which has called for withdrawal from the European Union and greater restrictions on immigration, has seen improved poll ratings this year.	entailment	contradiction
IBM_stance_0807	attack	This house believes all nations have a right to nuclear weapons	a full-scale nuclear war could potentially bring about the extinction of the human race	entailment	entailment
AAAI2018_06_11	support	 I don't agree with the sentence that religion in itself does more harm than good. What brings conflict is the need that some individuals related to these religions want to impose their beliefs on others. 	 Religion does more good than harm. People do more harm than good. 	entailment	contradiction
Web_0733	neutral	The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.	The word slut has different meanings to different generations.	entailment	contradiction
micro_b053_02	support	which means that quacks and phonies can practice these occupations unknown to the patients.	That's why the statutory health insurance companies should not cover such treatments.	contradiction	contradiction
