ID	seg1_text	seg2_text	gold
JoDeb_causal_2200	Biofuels as a solution to global warming are good.	Carbon neutral biofuels only emit CO2 they draw from atmosphere	entailment
ComArg_UGIP_0100	I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.	Removing under god would promote religious tolerance	entailment
AAAI2018_04_20	And almost all wars start because of religion. 	The war of some century's ago where almost all war for territory and power and use the religion for consolidate their purpose but the majority of time the religion was not the first purpose. 	contradiction
QT30_nodeset21021_004	there is a real economic crisis in the North East	Aberdeen in the surrounding areas has also got a crisis around the hospitality industry and a crisis around the tourism industry	entailment
AbstRCT_20651011_01	Physical training combined with cognitive-behavioral therapy and physical training alone had significant and beneficial effects on fatigue compared with no intervention.	Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,	neu
ArgEss_essay258_05	from my own experiences, after I had started learning playing the guitar without a teacher, I got used to wrong habits regarding strumming and tempo, but after finding and learning with a tutor and identifying and eliminating those incorrect habits, I was able to play properly	if you are going to learn some things by yourself, you may learn and understand them incorrectly	entailment
ComArg_GM_0182	Gay marriage should be legal because love is love.  I am Christian and I know that apparently it says something in the bible about no gay marriage. But how are we going to base our life off of a book that was written how long ago? God loves his children, and believe it or not, he loves his gay/bisexual children too. They were born this way, straight, gay, or bi.  Everyone who thinks other should check themselves.  They are on the wrong side of history. If you don't believe in gay marriage, don't marry someone the same gender as you. Simple as that.	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	neu
AAAI2018_010_24	Abortion is legal and it doesn't matter much when and how. It's an individual choice for whatever reason it might be.	In this decision we don't think just for ourselves, but also for the baby, unless if it's a decision of accommodation Participant4.	contradiction
ArgEss_essay112_00	They help to ensure fairness by imposing the same conditions on all exam candidates	There are clearly advantages to exams	entailment
IBM_stance_1742	This house would encourage the creation of private universities in the UK	private universities charge much higher tuition than their public counterparts	contradiction
ComArg_GM_1197	if we decide to ban gay marriage we will be breaking the twelfth amendment. also it would  slightly break the third because only religious groups have stopped or tried to stop gay mariage! maybe the religious groups should be banned since they are interfering with equal rights!!!! DOWN WITH DISCRIMINATION!!!!!!	Marriage should be between a man and a woman	neu
Web_2392	oasthadare we machines choosing between incorrect and correct responses or are we sentient being choosing between good and evil how could you not teach thisthats a good topic for sunday school	id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest	neu
QT30_nodeset21604_007	in terms of police Scotland, attitudes haven't changed as much as they should have since 1999	it is not just these issues	neu
